,vietnamese,indian,spanish_portuguese,jewish,french,central_southamerican,cajun_creole,thai,scandinavian,greek,american,african,middleeastern,easterneuropean_russian,italian,irish,mexican,chinese,german,mediterranean,japanese,moroccan,southern_soulfood,english_scottish,asian,southwestern,east_asian,western,korean,canada,turkey,caribbean,bangladesh,israel,iran,eastern-europe,south-african,belgium,netherlands,philippines,indonesia,east-african,switzerland,west-african,north-african,pakistan,lebanon,malaysia,austria
american,0.5554067230854671,0.44695354548896693,0.2740741612478431,0.11334514447998056,0.07606001260116146,0.22332603098723014,0.25592557866908683,0.5499884787719381,0.12429427147796734,0.3573198320641984,2.220446049250313e-16,0.3248455203129297,0.30924958296813976,0.08003738132187144,0.26744187818469367,0.12999033677251215,0.34477386316566994,0.509832128766327,0.08333992142511559,0.3640434377069668,0.5000950202249492,0.4080093307542991,0.08319169699764883,0.07563527227636413,0.5117505513191674,0.39510370321732036,0.5474064213612898,0.07462747582962892,0.573234282534204,0.013355156904790166,0.24961084943569556,0.25378192932149135,0.5936396833060331,0.2464634218444257,0.43922052601028927,0.06506765784040835,0.3270860571039119,0.18886177929154646,0.1956753151665418,0.28627352657307004,0.35370052082634273,0.39335334825576607,0.18958349014203502,0.4756731666411441,0.32828263115548206,0.5043218358795032,0.4150775900923438,0.4058174069468694,0.18870369348694271
african,0.42268662785264277,0.17074015636892437,0.1606070472758684,0.2770767017658917,0.333521039612546,0.16695225806332736,0.2629613940541733,0.3401397927392076,0.5256064576731401,0.2516221353361775,0.3248455203129297,0.0,0.08166279365690055,0.3685938325622229,0.28794668891139197,0.5163490706301946,0.24507205442145552,0.5008529415440524,0.45369012057874647,0.1819647407546472,0.5693156604547045,0.038728699286658896,0.3569246303860929,0.49091156681007553,0.41704822503379857,0.21598801586182947,0.5105004227736532,0.36554259657039856,0.5228044950694722,0.28708134654621786,0.2638678146448351,0.1694033189695905,0.3692929774119462,0.3590148493097084,0.28995682123327104,0.3890104892717333,0.39411320435195984,0.5202688467660583,0.5808494804604745,0.39298866601601334,0.34197361484027333,0.2291402972953056,0.5426833558671982,0.25419706665554387,0.05285962368650199,0.19546544270588906,0.2436440654649107,0.290832359891402,0.6426346692789728
middleeastern,0.49219822880463737,0.28811228866840755,0.1682843087613206,0.2586914525637384,0.28677628175658987,0.21527126947169795,0.29925780477713604,0.45113948173473606,0.4927837096379428,0.13130425856039163,0.30924958296813976,0.08166279365690055,0.0,0.33900579138754927,0.22829510519588025,0.4855459224652907,0.31343084289653755,0.5615140597085431,0.4363849402167769,0.10420306652005118,0.5926706315785952,0.07514742201151026,0.34706675083507177,0.45226954040221423,0.49323238632377164,0.2835688536011458,0.5426732901596105,0.33703525778187216,0.5508307703830446,0.2835811311227463,0.22935872046764505,0.23590803967028195,0.5016732329046394,0.30694013733757985,0.2956442932223091,0.38263234694057946,0.4588790139019948,0.48061412519608293,0.5516995119346138,0.4174344013275556,0.39871536219535475,0.2943041160741514,0.512584494160556,0.3654511618346892,0.10273393384938545,0.31595718003266016,0.1049624613066854,0.3911306789570951,0.6075678834662226
easterneuropean_russian,0.6420563212035417,0.5249514145583953,0.3139937115933732,0.11917069751978793,0.06756004214275568,0.29767901843360456,0.31822283770791937,0.6668777559028669,0.09841850968281729,0.36820467629766584,0.08003738132187144,0.3685938325622229,0.33900579138754927,1.1102230246251565e-16,0.31634564466708204,0.11588915471156958,0.43430537412290704,0.6099888392997211,0.08601092760884932,0.38058071653204395,0.5705408139779007,0.43904867021914373,0.1260856065044066,0.08291589459534021,0.6197512642567209,0.47249120248138254,0.6054261194166044,0.08648128240072672,0.6312217911148663,0.10192545509438034,0.29087066015069685,0.3636533014955984,0.6331339566518885,0.2442743959960455,0.4589934209339903,0.057222364092908484,0.36034719649158775,0.20641543293213638,0.21771272554657684,0.35599649440619274,0.4668858861181887,0.45826949157583285,0.15855278924222738,0.5416640899596183,0.38801674771474615,0.5652709221719672,0.45131201143020017,0.5286184237102544,0.18955019499852666
italian,0.5498854449683842,0.5285807585208999,0.1498012709853711,0.32363809382400166,0.21624821857545473,0.25060795587703477,0.2976613352872668,0.5822105247047035,0.5018126861031389,0.16616045676119207,0.26744187818469367,0.28794668891139197,0.22829510519588025,0.31634564466708204,1.1102230246251565e-16,0.46076699286395173,0.338646867429918,0.6103848360996592,0.4435857785403261,0.11959925376618008,0.6421516905104262,0.3215116478910438,0.3251015571015604,0.43027022563760997,0.5926028055043353,0.3624232210908509,0.6094324270910196,0.2958482828667872,0.6215465037281572,0.25579685924500584,0.2382196911110127,0.2849203337283499,0.6644139765184319,0.43810261349644364,0.41524858379096796,0.34244046039481624,0.5780536179299524,0.49320829701280766,0.5846654067399946,0.4216762637503916,0.4634605830455797,0.4545926678862414,0.4768950081684412,0.43928632624427555,0.28899581495280424,0.5142513695875657,0.28385865910075336,0.5239665114013043,0.5786264485621827
irish,0.7103969542022399,0.610247252477671,0.47952982800690247,0.20203524116565297,0.15032352554696438,0.43530372354432556,0.4167376263512236,0.7277380012616763,0.11619022125363743,0.5419950552140863,0.12999033677251215,0.5163490706301946,0.4855459224652907,0.11588915471156958,0.46076699286395173,1.1102230246251565e-16,0.5608117633140484,0.6663759431924052,0.11730434874333129,0.5474487077596935,0.605805409072706,0.5805340000660921,0.16003974804762577,0.06648719739162878,0.6751030322762543,0.5967338103204011,0.6810652849186298,0.1704650892794698,0.7051574857351197,0.15354967123105767,0.42580599379859074,0.48279361036521784,0.7040173760428219,0.32180421890956623,0.6046487374630205,0.12676755611066837,0.4097240129791885,0.17256519767647638,0.20526500518342572,0.43012217519115203,0.5462882141129962,0.5253362331674833,0.20165737510490833,0.6501960438269623,0.5187937747840048,0.6871268061808733,0.5905390101491103,0.5832694945527483,0.2001075504639921
mexican,0.3908984552912361,0.2877634073270121,0.2241568270701929,0.4419124018780144,0.4392978630315124,0.0530698889890594,0.1996524247778687,0.3817447347239211,0.6237264289950493,0.40943565829463713,0.34477386316566994,0.24507205442145552,0.31343084289653755,0.43430537412290704,0.338646867429918,0.5608117633140484,0.0,0.4956830603227057,0.530293953394305,0.3481720089399848,0.5933813905260387,0.33188460763919814,0.33501273141233623,0.5476885427617029,0.4465122110391295,0.05253257716957571,0.4547393860624912,0.39252893140246015,0.46201255502270244,0.30049900064105894,0.2729084167594257,0.1484989599043135,0.36574690343522165,0.5228292198397162,0.3361843022430091,0.3922550706032417,0.4868408789830536,0.6366921828191411,0.6861277217913067,0.3713684218839244,0.29069479195896153,0.2878811925012169,0.5964062799326983,0.21495920690373393,0.213442570603942,0.2619885230365484,0.41671521452664284,0.3795920156920337,0.7148041265641049
chinese,0.31653055138854336,0.49272940988546887,0.5108235057585238,0.5453613432271079,0.5923501569750904,0.46311653156677746,0.43085175757337035,0.29918358593740824,0.6899413221939048,0.6478903801102233,0.509832128766327,0.5008529415440524,0.5615140597085431,0.6099888392997211,0.6103848360996592,0.6663759431924052,0.4956830603227057,0.0,0.6201974207065264,0.6168767214010276,0.17352120111209068,0.5896443683164025,0.527813958555958,0.6685922813200611,0.07239389725961864,0.4880960087494546,0.14253339248756858,0.5240245792913574,0.16689779901818702,0.4663159309542192,0.578899572908216,0.39064996083788794,0.5600921266117024,0.664546394779427,0.5989777273475662,0.5746598935387102,0.6538140956185068,0.7242011639668855,0.7532982271017706,0.23379366907044796,0.22601814074790638,0.4483454405088614,0.7149630316267162,0.5487232097529127,0.5170441953439513,0.47470916620387993,0.6267584243479651,0.4436277142599748,0.780304147489824
german,0.7139418360002461,0.5812071261806946,0.4307855055133366,0.12121881167803183,0.14038887321543536,0.3923896245188083,0.4030912513791073,0.7209253269951017,0.06904243949302502,0.4917492701670254,0.08333992142511559,0.45369012057874647,0.4363849402167769,0.08601092760884932,0.4435857785403261,0.11730434874333129,0.530293953394305,0.6201974207065264,0.0,0.5233701089025997,0.5760303307532633,0.5195225567717234,0.1552426622683718,0.05808394356457225,0.6545618773444088,0.5835709253622875,0.6521570029912817,0.111757303977706,0.6818129971713587,0.10565894353405814,0.38307382904325404,0.4252121428477206,0.6640671381068453,0.25365859088133436,0.5518382889047229,0.06464255904018568,0.33930388791786703,0.13219926771444857,0.11505269513924621,0.3780399827426043,0.5178908093706914,0.47686798577275913,0.12764939486644522,0.6319782609419713,0.4657277035364369,0.6526180400844904,0.5515715258086287,0.5388666761312726,0.12852482753597816
mediterranean,0.5254680950817321,0.45987703313013595,0.09118819414200707,0.32398231360465235,0.28022377500297113,0.24622706113022896,0.30892679803596956,0.5379615866043392,0.591590518307044,0.05465339436806882,0.3640434377069668,0.1819647407546472,0.10420306652005118,0.38058071653204395,0.11959925376618008,0.5474487077596935,0.3481720089399848,0.6168767214010276,0.5233701089025997,1.1102230246251565e-16,0.6266825870584856,0.17847717638204375,0.4171076131448781,0.5296878413547186,0.5599781515452151,0.32993621535883455,0.6033002528306199,0.39122715199336877,0.613211795001408,0.34795969821719575,0.24064952470227075,0.2705956803161327,0.6139073716670277,0.45750572300304093,0.36027260350017154,0.43662835883209405,0.5870383402660715,0.5949435276524906,0.678970466816784,0.4634524398837997,0.45492847959464644,0.4043773927558879,0.5927214318138794,0.3883708888173547,0.20514955153391723,0.44995961512875615,0.15509199684063035,0.4934190415551615,0.6935128371786404
